worldname	numPredators	numPrey	mean_energy
world_9	7	134	96.28169014084507
world_10	14	143	95.89411764705882
world_1	18	46	33.05555555555556
world_2	7	179	57.84
world_3	9	169	74.79411764705883
world_4	13	188	88.68085106382979
world_5	17	187	95.40625
world_6	5	59	94.43478260869566
world_7	3	105	94.93055555555556
world_8	9	33	88.65432098765432
world_9	10	62	86.16483516483517
world_10	15	144	88.72641509433963
world_1	7	70	80.85714285714286
world_2	10	152	103.47058823529412
world_3	17	187	109.38235294117646
world_4	14	117	103.33333333333333
world_5	5	47	100.71698113207547
world_6	16	180	103.31884057971014
world_7	13	32	91.3048780487805
world_8	14	185	93.28125
world_9	12	105	92.38888888888889
world_10	10	140	94.46610169491525
world_1	16	74	53.0
world_2	10	176	80.34615384615384
world_3	5	135	86.12903225806451
world_4	5	27	80.05555555555556
world_5	6	179	86.69047619047619
world_6	5	18	81.12765957446808
world_7	4	89	82.62745098039215
world_8	1	118	83.13461538461539
world_9	6	128	86.46551724137932
world_10	10	194	92.19117647058823
world_1	18	33	24.11111111111111
world_2	1	61	28.210526315789473
world_3	10	52	38.6551724137931
world_4	7	115	51.25
world_5	3	169	56.56410256410256
world_6	10	145	68.18367346938776
world_7	1	161	69.28
world_8	7	30	66.3157894736842
world_9	19	52	58.46052631578947
world_10	9	38	57.28235294117647
world_1	4	160	124.75
world_2	19	26	37.56521739130435
world_3	2	150	44.16
world_4	2	127	49.44444444444444
world_5	6	182	63.303030303030305
world_6	2	73	65.8
world_7	7	56	66.73809523809524
world_8	4	175	71.47826086956522
world_9	19	30	56.84615384615385
world_10	12	147	65.2987012987013
world_1	17	2	3.588235294117647
world_2	10	110	37.629629629629626
world_3	18	192	70.08888888888889
world_4	5	196	75.68
world_5	1	170	76.56862745098039
world_6	16	53	67.56716417910448
world_7	9	17	62.36842105263158
world_8	4	180	65.425
world_9	15	3	55.82105263157895
world_10	8	132	58.58252427184466
world_1	15	144	108.33333333333333
world_2	18	151	104.15151515151516
world_3	11	90	100.54545454545455
world_4	4	79	99.54166666666667
world_5	2	111	100.04
world_6	9	73	95.50847457627118
world_7	19	159	95.83333333333333
world_8	4	43	94.7439024390244
world_9	13	179	97.76842105263158
world_10	5	176	99.1
world_1	10	101	98.2
world_2	6	177	107.875
world_3	19	70	74.4
world_4	2	105	75.91891891891892
world_5	10	117	81.29787234042553
world_6	12	112	83.35593220338983
world_7	18	66	74.53246753246754
world_8	2	103	75.18987341772151
world_9	6	157	78.50588235294117
world_10	3	76	79.01136363636364
world_1	19	30	21.63157894736842
world_2	20	19	17.923076923076923
world_3	14	19	18.11320754716981
world_4	15	172	39.85294117647059
world_5	18	78	42.848837209302324
world_6	5	193	47.494505494505496
world_7	9	108	51.36
world_8	6	88	54.06603773584906
world_9	10	156	59.37068965517241
world_10	16	25	54.67424242424242
